Subplot,TreeID,TreeID_Onsite,Stand,Con_DBH,Con_X,Con_Y,Con_Z,Pad_DBH,Pad_X,Pad_Y,Pad_Z,Pho_DBH,Pho_X,Pho_Y,Pho_Z
3,31,155,Cp,12.1,-70046.17969,-110763.9137,1.859,16.3,-70046.14062,-110762.0313,126.3,14.7,-70048.30469,-110765.6953,126.4
3,32,156,Cp,14.4,-70045.2031,-110763.756,1.875,17.6,-70045.17188,-110761.9375,126.3,16.5,-70047.33594,-110765.5703,126.4
3,33,474,Cp,17.6,-70042.59551,-110758.6924,1.494,16.2,-70042.64062,-110756.7578,125.9,17.1,-70044.99219,-110760.4531,126.2
3,34,475,Cp,13.5,-70042.90835,-110756.8281,1.322,12.3,-70043.01562,-110754.9219,125.9,17.0,-70045.38281,-110758.6172,126.2
3,35,473,Cp,18.9,-70041.63429,-110758.3328,1.466,18.3,-70041.67188,-110756.4063,125.9,18.5,-70044.03906,-110760.0703,126.1
3,36,483,Cp,20.2,-70039.70364,-110754.1295,1.191,18.8,-70039.75781,-110752.2109,125.7,17.9,-70042.27344,-110755.8984,125.9
3,37,484,Cp,17.6,-70040.78796,-110754.1715,1.162,17.5,-70040.85156,-110752.2969,125.7,18.8,-70043.375,-110755.9766,125.9
3,38,485,Cp,20.2,-70042.79978,-110754.6979,1.193,18.4,-70042.85156,-110752.8594,125.7,19.5,-70045.3125,-110756.5078,125.9
3,39,487,Cp,7.6,-70044.33107,-110752.6506,1.1,9.0,-70044.375,-110750.7969,125.8,8.8,-70046.92969,-110754.5234,125.9
3,40,488,Cp,16.9,-70043.32499,-110752.2738,1.089,18.8,-70043.375,-110750.375,125.7,16.6,-70045.96094,-110754.0859,125.9
3,41,490,Cp,9.2,-70040.24437,-110751.4624,1.018,7.9,-70040.34375,-110749.6172,125.6,10.4,-70043.0,-110753.2188,125.7
3,42,499,Cp,10.6,-70038.15636,-110748.5442,0.959,10.5,-70038.26562,-110746.6953,125.5,10.6,-70041.05469,-110750.3047,125.7
3,43,500,Cp,17.3,-70039.0577,-110749.2374,0.989,16.8,-70039.16406,-110747.3203,125.6,17.0,-70041.91406,-110750.9063,125.7
3,44,501,Cp,10.8,-70039.96203,-110749.4214,0.98,12.6,-70040.10156,-110747.5547,125.6,10.4,-70042.80469,-110751.1172,125.7
3,45,502,Cp,11.9,-70041.91975,-110749.7858,1.035,15.0,-70041.96094,-110748.0,125.6,10.4,-70044.65625,-110751.5781,125.8
3,46,505,Cp,12.4,-70044.76078,-110750.7624,0.979,14.5,-70044.89844,-110748.9297,125.7,13.8,-70047.46875,-110752.5313,125.8
3,47,506,Cp,8.5,-70045.28089,-110748.7411,0.829,9.6,-70045.35156,-110746.9063,125.7,8.8,-70048.07031,-110750.5469,125.9
3,48,507,Cp,7.7,-70044.31927,-110748.561,0.824,9.2,-70044.40625,-110746.6563,125.6,8.0,-70047.11719,-110750.2734,125.8
3,49,508,Cp,7.6,-70043.38752,-110748.2705,0.828,10.5,-70043.5,-110746.4219,125.5,9.6,-70046.20312,-110749.9766,125.7
3,50,509,Cp,22.0,-70040.51981,-110747.5543,0.887,22.7,-70040.625,-110745.6641,125.5,19.2,-70043.375,-110749.2031,125.6
3,51,510,Cp,23.7,-70039.3644,-110747.2475,0.896,21.6,-70039.48438,-110745.4219,125.5,25.0,-70042.23438,-110748.8281,125.6
3,52,520,Cp,10.0,-70041.99692,-110745.9988,0.747,10.2,-70042.10938,-110744.1641,125.5,10.1,-70044.85938,-110747.6484,125.7
3,53,521,Cp,9.0,-70044.89139,-110746.6702,0.766,4.7,-70044.98438,-110744.9375,125.6,10.1,-70047.69531,-110748.4219,125.7
3,54,686,Bp,49.9,-70045.53572,-110744.7658,0.855,51.2,-70045.57812,-110743.0938,125.5,48.2,-70048.39844,-110746.5938,125.7
3,55,685,Bp,23.2,-70046.68225,-110746.4248,0.824,24.9,-70046.78906,-110744.8125,125.6,25.1,-70049.55469,-110748.1172,125.8
