Category,Region,Year,Value,Area
Softwood,Galati,1994,200,Hectares
Softwood,Galati,1995,200,Hectares
Softwood,Galati,1996,200,Hectares
Softwood,Galati,1997,200,Hectares
Softwood,Galati,1998,200,Hectares
Softwood,Galati,1999,200,Hectares
Softwood,Galati,2000,200,Hectares
Softwood,Galati,2001,200,Hectares
Softwood,Galati,2002,200,Hectares
Softwood,Galati,2003,200,Hectares
Softwood,Galati,2004,200,Hectares
Softwood,Galati,2005,200,Hectares
Softwood,Galati,2006,200,Hectares
Softwood,Galati,2007,200,Hectares
Softwood,Galati,2008,200,Hectares
Softwood,Galati,2009,200,Hectares
Softwood,Galati,2010,200,Hectares
Softwood,Galati,2011,200,Hectares
Softwood,Galati,2012,200,Hectares
Softwood,Galati,2013,200,Hectares
Softwood,Galati,2014,200,Hectares
Softwood,Galati,2015,200,Hectares
Softwood,Galati,2016,200,Hectares
Softwood,Galati,2017,100,Hectares
Softwood,Galati,2018,100,Hectares
Softwood,Galati,2019,100,Hectares
Softwood,Arges,1990,79700,Hectares
Softwood,Arges,1991,79800,Hectares
Softwood,Arges,1992,79800,Hectares
Softwood,Arges,1993,79900,Hectares
Softwood,Arges,1994,79300,Hectares
Softwood,Arges,1995,79400,Hectares
Softwood,Arges,1996,79100,Hectares
Softwood,Arges,1997,79200,Hectares
Softwood,Arges,1998,79100,Hectares
Softwood,Arges,1999,79100,Hectares
Softwood,Arges,2000,78700,Hectares
Softwood,Arges,2001,78700,Hectares
Softwood,Arges,2002,78800,Hectares
Softwood,Arges,2003,78700,Hectares
Softwood,Arges,2004,84800,Hectares
Softwood,Arges,2005,84800,Hectares
Softwood,Arges,2006,84800,Hectares
Softwood,Arges,2007,78700,Hectares
Softwood,Arges,2008,78700,Hectares
Softwood,Arges,2009,76800,Hectares
Softwood,Arges,2010,77000,Hectares
Softwood,Arges,2011,77100,Hectares
Softwood,Arges,2012,76800,Hectares
Softwood,Arges,2013,76800,Hectares
Softwood,Arges,2014,76800,Hectares
Softwood,Arges,2015,83400,Hectares
Softwood,Arges,2016,84300,Hectares
Softwood,Arges,2017,84300,Hectares
Softwood,Arges,2018,84600,Hectares
Softwood,Arges,2019,84200,Hectares
Softwood,Dambovita,1990,15300,Hectares
Softwood,Dambovita,1991,15400,Hectares
Softwood,Dambovita,1992,15400,Hectares
Softwood,Dambovita,1993,15400,Hectares
Softwood,Dambovita,1994,15400,Hectares
Softwood,Dambovita,1995,14100,Hectares
Softwood,Dambovita,1996,15400,Hectares
Softwood,Dambovita,1997,15400,Hectares
Softwood,Dambovita,1998,15200,Hectares
Softwood,Dambovita,1999,15100,Hectares
Softwood,Dambovita,2000,15000,Hectares
Softwood,Dambovita,2001,15000,Hectares
Softwood,Dambovita,2002,15000,Hectares
Softwood,Dambovita,2003,14400,Hectares
Softwood,Dambovita,2004,14500,Hectares
Softwood,Dambovita,2005,14400,Hectares
Softwood,Dambovita,2006,14500,Hectares
Softwood,Dambovita,2007,14600,Hectares
Softwood,Dambovita,2008,14400,Hectares
Softwood,Dambovita,2009,14500,Hectares
Softwood,Dambovita,2010,14500,Hectares
Softwood,Dambovita,2011,14500,Hectares
Softwood,Dambovita,2012,14500,Hectares
Softwood,Dambovita,2013,14500,Hectares
Softwood,Dambovita,2014,14400,Hectares
Softwood,Dambovita,2015,14700,Hectares
Softwood,Dambovita,2016,14700,Hectares
Softwood,Dambovita,2017,14700,Hectares
Softwood,Dambovita,2018,14700,Hectares
Softwood,Dambovita,2019,14700,Hectares
Softwood,Ilfov,1990,100,Hectares
Softwood,Ilfov,1991,100,Hectares
Softwood,Ilfov,1992,100,Hectares
Softwood,Ilfov,1993,100,Hectares
Softwood,Ilfov,1994,100,Hectares
Softwood,Ilfov,1995,100,Hectares
Softwood,Ilfov,1996,100,Hectares
Softwood,Ilfov,1997,100,Hectares
Softwood,Ilfov,1998,100,Hectares
Softwood,Ilfov,1999,100,Hectares
Softwood,Ilfov,2000,100,Hectares
Softwood,Ilfov,2001,100,Hectares
Softwood,Ilfov,2002,100,Hectares
Softwood,Ilfov,2003,100,Hectares
Softwood,Ilfov,2004,100,Hectares
Softwood,Ilfov,2005,100,Hectares
Softwood,Ilfov,2006,100,Hectares
Softwood,Ilfov,2007,100,Hectares
Softwood,Ilfov,2008,100,Hectares
Softwood,Ilfov,2009,100,Hectares
Softwood,Ilfov,2010,100,Hectares
Softwood,Ilfov,2011,100,Hectares
Softwood,Ilfov,2012,100,Hectares
Softwood,Ilfov,2013,100,Hectares
Softwood,Ilfov,2014,100,Hectares
Softwood,Ilfov,2015,100,Hectares
Softwood,Ilfov,2016,100,Hectares
Softwood,Ilfov,2017,100,Hectares
Softwood,Ilfov,2018,100,Hectares
Softwood,Ilfov,2019,100,Hectares
Softwood,Gorj,1990,31100,Hectares
Softwood,Gorj,1991,31300,Hectares
Softwood,Gorj,1992,30100,Hectares
Softwood,Gorj,1993,27900,Hectares
Softwood,Gorj,1994,26600,Hectares
Softwood,Gorj,1995,25900,Hectares
Softwood,Gorj,1996,26000,Hectares
Softwood,Gorj,1997,25800,Hectares
Softwood,Gorj,1998,25800,Hectares
Softwood,Gorj,1999,26000,Hectares
Softwood,Gorj,2000,26000,Hectares
Softwood,Gorj,2001,25700,Hectares
Softwood,Gorj,2002,25200,Hectares
Softwood,Gorj,2003,24600,Hectares
Softwood,Gorj,2004,24500,Hectares
Softwood,Gorj,2005,23400,Hectares
Softwood,Gorj,2006,25000,Hectares
Softwood,Gorj,2007,24900,Hectares
Softwood,Gorj,2008,25900,Hectares
Softwood,Gorj,2009,26000,Hectares
Softwood,Gorj,2010,25900,Hectares
Softwood,Gorj,2011,26000,Hectares
Softwood,Gorj,2012,25900,Hectares
Softwood,Gorj,2013,25600,Hectares
Softwood,Gorj,2014,25600,Hectares
Softwood,Gorj,2015,26300,Hectares
Softwood,Gorj,2016,26500,Hectares
Softwood,Gorj,2017,26300,Hectares
Softwood,Gorj,2018,26100,Hectares
Softwood,Gorj,2019,26100,Hectares
Softwood,Valcea,1990,82000,Hectares
Softwood,Valcea,1991,82700,Hectares
Softwood,Valcea,1992,82600,Hectares
Softwood,Valcea,1993,80900,Hectares
Softwood,Valcea,1994,81600,Hectares
Softwood,Valcea,1995,81200,Hectares
Softwood,Valcea,1996,81200,Hectares
Softwood,Valcea,1997,80900,Hectares
Softwood,Valcea,1998,80200,Hectares
Softwood,Valcea,1999,80100,Hectares
Softwood,Valcea,2000,80000,Hectares
Softwood,Valcea,2001,80000,Hectares
Softwood,Valcea,2002,79300,Hectares
Softwood,Valcea,2003,78700,Hectares
Softwood,Valcea,2004,79000,Hectares
Softwood,Valcea,2005,92200,Hectares
Softwood,Valcea,2006,91600,Hectares
Softwood,Valcea,2007,92200,Hectares
Softwood,Valcea,2008,92000,Hectares
Softwood,Valcea,2009,93800,Hectares
Softwood,Valcea,2010,93900,Hectares
Softwood,Valcea,2011,93500,Hectares
Softwood,Valcea,2012,93600,Hectares
Softwood,Valcea,2013,93600,Hectares
Softwood,Valcea,2014,93700,Hectares
Softwood,Valcea,2015,93600,Hectares
Softwood,Valcea,2016,92700,Hectares
Softwood,Valcea,2017,92800,Hectares
Softwood,Valcea,2018,88700,Hectares
Softwood,Valcea,2019,88900,Hectares
Softwood,Caras-Severin,1990,60100,Hectares
Softwood,Caras-Severin,1991,60500,Hectares
Softwood,Caras-Severin,1992,60300,Hectares
Softwood,Caras-Severin,1993,58400,Hectares
Softwood,Caras-Severin,1994,58600,Hectares
Softwood,Caras-Severin,1995,57500,Hectares
Softwood,Caras-Severin,1996,52700,Hectares
Softwood,Caras-Severin,1997,52300,Hectares
Softwood,Caras-Severin,1998,50600,Hectares
Softwood,Caras-Severin,1999,50400,Hectares
Softwood,Caras-Severin,2000,50400,Hectares
Softwood,Caras-Severin,2001,50400,Hectares
Softwood,Caras-Severin,2002,53100,Hectares
Softwood,Caras-Severin,2003,54200,Hectares
Softwood,Caras-Severin,2004,52400,Hectares
Softwood,Caras-Severin,2005,51600,Hectares
Softwood,Caras-Severin,2006,45000,Hectares
Softwood,Caras-Severin,2007,46000,Hectares
Softwood,Caras-Severin,2008,46800,Hectares
Softwood,Caras-Severin,2009,45800,Hectares
Softwood,Caras-Severin,2010,47600,Hectares
Softwood,Caras-Severin,2011,47200,Hectares
Softwood,Caras-Severin,2012,46900,Hectares
Softwood,Caras-Severin,2013,46700,Hectares
Softwood,Caras-Severin,2014,44400,Hectares
Softwood,Caras-Severin,2015,43800,Hectares
Softwood,Caras-Severin,2016,43400,Hectares
Softwood,Caras-Severin,2017,42900,Hectares
Softwood,Caras-Severin,2018,42900,Hectares
Softwood,Caras-Severin,2019,43100,Hectares
Softwood,Hunedoara,1990,86800,Hectares
Softwood,Hunedoara,1991,87000,Hectares
Softwood,Hunedoara,1992,86800,Hectares
Softwood,Hunedoara,1993,83500,Hectares
Softwood,Hunedoara,1994,83700,Hectares
Softwood,Hunedoara,1995,84100,Hectares
Softwood,Hunedoara,1996,82700,Hectares
Softwood,Hunedoara,1997,82800,Hectares
Softwood,Hunedoara,1998,81300,Hectares
Softwood,Hunedoara,1999,81600,Hectares
Softwood,Hunedoara,2000,81600,Hectares
Softwood,Hunedoara,2001,81000,Hectares
Softwood,Hunedoara,2002,81200,Hectares
Softwood,Hunedoara,2003,81500,Hectares
Softwood,Hunedoara,2004,81700,Hectares
Softwood,Hunedoara,2005,81800,Hectares
Softwood,Hunedoara,2006,82500,Hectares
Softwood,Hunedoara,2007,84700,Hectares
Softwood,Hunedoara,2008,84400,Hectares
Softwood,Hunedoara,2009,86700,Hectares
Softwood,Hunedoara,2010,84600,Hectares
Softwood,Hunedoara,2011,83800,Hectares
Softwood,Hunedoara,2012,82400,Hectares
Softwood,Hunedoara,2013,82500,Hectares
Softwood,Hunedoara,2014,81400,Hectares
Softwood,Hunedoara,2015,81300,Hectares
Softwood,Hunedoara,2016,81700,Hectares
Softwood,Hunedoara,2017,81300,Hectares
Softwood,Hunedoara,2018,80600,Hectares
Softwood,Hunedoara,2019,80100,Hectares
Hardwood,Bihor,1990,158200,Hectares
Hardwood,Bihor,1991,158100,Hectares
Hardwood,Bihor,1992,158100,Hectares
Hardwood,Bihor,1993,155700,Hectares
Hardwood,Bihor,1994,158300,Hectares
Hardwood,Bihor,1995,158600,Hectares
Hardwood,Bihor,1996,158900,Hectares
Hardwood,Bihor,1997,159000,Hectares
Hardwood,Bihor,1998,159300,Hectares
Hardwood,Bihor,1999,159300,Hectares
Hardwood,Bihor,2000,159700,Hectares
Hardwood,Bihor,2001,159600,Hectares
Hardwood,Bihor,2002,161600,Hectares
Hardwood,Bihor,2003,159500,Hectares
Hardwood,Bihor,2004,159900,Hectares
Hardwood,Bihor,2005,158800,Hectares
Hardwood,Bihor,2006,164700,Hectares
Hardwood,Bihor,2007,168700,Hectares
Hardwood,Bihor,2008,169400,Hectares
Hardwood,Bihor,2009,171100,Hectares
Hardwood,Bihor,2010,171100,Hectares
Hardwood,Bihor,2011,172000,Hectares
Hardwood,Bihor,2012,172600,Hectares
Hardwood,Bihor,2013,173100,Hectares
Hardwood,Bihor,2014,172300,Hectares
Hardwood,Bihor,2015,172700,Hectares
Hardwood,Bihor,2016,171900,Hectares
Hardwood,Bihor,2017,171700,Hectares
Hardwood,Bihor,2018,173300,Hectares
Hardwood,Bihor,2019,173100,Hectares
Hardwood,Cluj,1990,92300,Hectares
Hardwood,Cluj,1991,92700,Hectares
Hardwood,Cluj,1992,93400,Hectares
Hardwood,Cluj,1993,93300,Hectares
Hardwood,Cluj,1994,93400,Hectares
Hardwood,Cluj,1995,93200,Hectares
Hardwood,Cluj,1996,93100,Hectares
Hardwood,Cluj,1997,93100,Hectares
Hardwood,Cluj,1998,93100,Hectares
Hardwood,Cluj,1999,93100,Hectares
Hardwood,Cluj,2000,92900,Hectares
Hardwood,Cluj,2001,92800,Hectares
Hardwood,Cluj,2002,92700,Hectares
Hardwood,Cluj,2003,92700,Hectares
Hardwood,Cluj,2004,92500,Hectares
Hardwood,Cluj,2005,91900,Hectares
Hardwood,Cluj,2006,79100,Hectares
Hardwood,Cluj,2007,79600,Hectares
Hardwood,Cluj,2008,80900,Hectares
Hardwood,Cluj,2009,82100,Hectares
Hardwood,Cluj,2010,84700,Hectares
Hardwood,Cluj,2011,85600,Hectares
Hardwood,Cluj,2012,86300,Hectares
Hardwood,Cluj,2013,88000,Hectares
Hardwood,Cluj,2014,86900,Hectares
Hardwood,Cluj,2015,85800,Hectares
Hardwood,Cluj,2016,87200,Hectares
Hardwood,Cluj,2017,87000,Hectares
Hardwood,Cluj,2018,90300,Hectares
Hardwood,Cluj,2019,91400,Hectares
Hardwood,Maramures,1990,157300,Hectares
Hardwood,Maramures,1991,157200,Hectares
Hardwood,Maramures,1992,158300,Hectares
Hardwood,Maramures,1993,158200,Hectares
Hardwood,Maramures,1994,158700,Hectares
Hardwood,Maramures,1995,158700,Hectares
Hardwood,Maramures,1996,158800,Hectares
Hardwood,Maramures,1997,161200,Hectares
Hardwood,Maramures,1998,163000,Hectares
Hardwood,Maramures,1999,162900,Hectares
Hardwood,Maramures,2000,162800,Hectares
Hardwood,Maramures,2001,162800,Hectares
Hardwood,Maramures,2002,162900,Hectares
Hardwood,Maramures,2003,162600,Hectares
Hardwood,Maramures,2004,162400,Hectares
Hardwood,Maramures,2005,163800,Hectares
Hardwood,Maramures,2006,161700,Hectares
Hardwood,Maramures,2007,147200,Hectares
Hardwood,Maramures,2008,142900,Hectares
Hardwood,Maramures,2009,142600,Hectares
Hardwood,Maramures,2010,142600,Hectares
Hardwood,Maramures,2011,143200,Hectares
Hardwood,Maramures,2012,143800,Hectares
Hardwood,Maramures,2013,145000,Hectares
Hardwood,Maramures,2014,145600,Hectares
Hardwood,Maramures,2015,145000,Hectares
Hardwood,Maramures,2016,146000,Hectares
Hardwood,Maramures,2017,146500,Hectares
Hardwood,Maramures,2018,145700,Hectares
Hardwood,Maramures,2019,146300,Hectares
Hardwood,Alba,1990,134300,Hectares
Hardwood,Alba,1991,134000,Hectares
Hardwood,Alba,1992,133700,Hectares
Hardwood,Alba,1993,133600,Hectares
Hardwood,Alba,1994,134000,Hectares
Hardwood,Alba,1995,134200,Hectares
Hardwood,Alba,1996,134200,Hectares
Hardwood,Alba,1997,134200,Hectares
Hardwood,Alba,1998,134200,Hectares
Hardwood,Alba,1999,134200,Hectares
Hardwood,Alba,2000,134500,Hectares
Hardwood,Alba,2001,134500,Hectares
Hardwood,Alba,2002,134400,Hectares
Hardwood,Alba,2003,133400,Hectares
Hardwood,Alba,2004,132200,Hectares
Hardwood,Alba,2005,129600,Hectares
Hardwood,Alba,2006,130500,Hectares
Hardwood,Alba,2007,126900,Hectares
Hardwood,Alba,2008,130699,Hectares
Hardwood,Alba,2009,128300,Hectares
Hardwood,Alba,2010,128100,Hectares
Hardwood,Alba,2011,127500,Hectares
Hardwood,Alba,2012,127600,Hectares
Hardwood,Alba,2013,128100,Hectares
Hardwood,Alba,2014,128800,Hectares
Hardwood,Alba,2015,129900,Hectares
Hardwood,Alba,2016,130199,Hectares
Hardwood,Alba,2017,130400,Hectares
Hardwood,Alba,2018,132600,Hectares
Hardwood,Alba,2019,132800,Hectares
Hardwood,Brasov,1990,122000,Hectares
Hardwood,Brasov,1991,122100,Hectares
Hardwood,Brasov,1992,122500,Hectares
Hardwood,Brasov,1993,123200,Hectares
Hardwood,Brasov,1994,122800,Hectares
Hardwood,Brasov,1995,122700,Hectares
Hardwood,Brasov,1996,122900,Hectares
Hardwood,Brasov,1997,121900,Hectares
Hardwood,Brasov,1998,122500,Hectares
Hardwood,Brasov,1999,122500,Hectares
Hardwood,Brasov,2000,122500,Hectares
Hardwood,Brasov,2001,122400,Hectares
Hardwood,Brasov,2002,123000,Hectares
Hardwood,Brasov,2003,123100,Hectares
Hardwood,Brasov,2004,121000,Hectares
Hardwood,Brasov,2005,123100,Hectares
Hardwood,Brasov,2006,127100,Hectares
Hardwood,Brasov,2007,130100,Hectares
Hardwood,Brasov,2008,131900,Hectares
Hardwood,Brasov,2009,131200,Hectares
Hardwood,Brasov,2010,131600,Hectares
Hardwood,Brasov,2011,131200,Hectares
Hardwood,Brasov,2012,131600,Hectares
Hardwood,Brasov,2013,132300,Hectares
Hardwood,Brasov,2014,133300,Hectares
Hardwood,Brasov,2015,132200,Hectares
Hardwood,Brasov,2016,131700,Hectares
Hardwood,Brasov,2017,132300,Hectares
Hardwood,Brasov,2018,132300,Hectares
Hardwood,Brasov,2019,132600,Hectares
Hardwood,Covasna,1990,95200,Hectares
Hardwood,Covasna,1991,95200,Hectares
Hardwood,Covasna,1992,95100,Hectares
Hardwood,Covasna,1993,95100,Hectares
Hardwood,Covasna,1994,95100,Hectares
Hardwood,Covasna,1995,95800,Hectares
Hardwood,Covasna,1996,96700,Hectares
Hardwood,Covasna,1997,96800,Hectares
Hardwood,Covasna,1998,97100,Hectares
Hardwood,Covasna,1999,97200,Hectares
Hardwood,Covasna,2000,97600,Hectares
Hardwood,Covasna,2001,98400,Hectares
Hardwood,Covasna,2002,98100,Hectares
Hardwood,Covasna,2003,99600,Hectares
Hardwood,Covasna,2004,99100,Hectares
Hardwood,Covasna,2005,98700,Hectares
Hardwood,Covasna,2006,96900,Hectares
Hardwood,Covasna,2007,101900,Hectares
Hardwood,Covasna,2008,96300,Hectares
Hardwood,Covasna,2009,100800,Hectares
Hardwood,Covasna,2010,100200,Hectares
Hardwood,Covasna,2011,101000,Hectares
Hardwood,Covasna,2012,100900,Hectares
Hardwood,Covasna,2013,102100,Hectares
Hardwood,Covasna,2014,102200,Hectares
Hardwood,Covasna,2015,103900,Hectares
Hardwood,Covasna,2016,104200,Hectares
Hardwood,Covasna,2017,105600,Hectares
Hardwood,Covasna,2018,106100,Hectares
Hardwood,Covasna,2019,106200,Hectares
Hardwood,Harghita,1990,58700,Hectares
Hardwood,Harghita,1991,58400,Hectares
Hardwood,Harghita,1992,58700,Hectares
Hardwood,Harghita,1993,58300,Hectares
Hardwood,Harghita,1994,57200,Hectares
Hardwood,Harghita,1995,59300,Hectares
Hardwood,Harghita,1996,59100,Hectares
Hardwood,Harghita,1997,59100,Hectares
Hardwood,Harghita,1998,58800,Hectares
Hardwood,Harghita,1999,58700,Hectares
Hardwood,Harghita,2000,59000,Hectares
Hardwood,Harghita,2001,59100,Hectares
Hardwood,Harghita,2002,59200,Hectares
Hardwood,Harghita,2003,67100,Hectares
Hardwood,Harghita,2004,59800,Hectares
Hardwood,Harghita,2005,60000,Hectares
Hardwood,Harghita,2006,63500,Hectares
Hardwood,Harghita,2007,68200,Hectares
Hardwood,Harghita,2008,65900,Hectares
Hardwood,Harghita,2009,66300,Hectares
Hardwood,Harghita,2010,63600,Hectares
Hardwood,Harghita,2011,64500,Hectares
Hardwood,Harghita,2012,62300,Hectares
Hardwood,Harghita,2013,66500,Hectares
Hardwood,Harghita,2014,67100,Hectares
Hardwood,Harghita,2015,69500,Hectares
Hardwood,Harghita,2016,69700,Hectares
Hardwood,Harghita,2017,71700,Hectares
Hardwood,Harghita,2018,71200,Hectares
Hardwood,Harghita,2019,71300,Hectares
Hardwood,Mures,1990,126600,Hectares
Hardwood,Mures,1991,127100,Hectares
Hardwood,Mures,1992,127300,Hectares
Hardwood,Mures,1993,127600,Hectares
Hardwood,Mures,1994,128100,Hectares
Hardwood,Mures,1995,127900,Hectares
Hardwood,Mures,1996,128100,Hectares
Hardwood,Mures,1997,128000,Hectares
Hardwood,Mures,1998,128300,Hectares
Hardwood,Mures,1999,128300,Hectares
Hardwood,Mures,2000,128000,Hectares
Hardwood,Mures,2001,129000,Hectares
Hardwood,Mures,2002,129300,Hectares
Hardwood,Mures,2003,129400,Hectares
Hardwood,Mures,2004,129500,Hectares
Hardwood,Mures,2005,129900,Hectares
Hardwood,Mures,2006,129600,Hectares
Hardwood,Mures,2007,130199,Hectares
Hardwood,Mures,2008,137000,Hectares
Hardwood,Mures,2009,133400,Hectares
Hardwood,Mures,2010,134300,Hectares
Hardwood,Mures,2011,132200,Hectares
Hardwood,Mures,2012,132100,Hectares
Hardwood,Mures,2013,128600,Hectares
Hardwood,Mures,2014,128100,Hectares
Hardwood,Mures,2015,129699,Hectares
Hardwood,Mures,2016,131300,Hectares
Hardwood,Mures,2017,129300,Hectares
Hardwood,Mures,2018,131600,Hectares
Hardwood,Mures,2019,132000,Hectares
Hardwood,Sibiu,1990,114500,Hectares
Hardwood,Sibiu,1991,114500,Hectares
Hardwood,Sibiu,1992,115100,Hectares
Hardwood,Sibiu,1993,115000,Hectares
Hardwood,Sibiu,1994,115100,Hectares
Hardwood,Sibiu,1995,115300,Hectares
Hardwood,Sibiu,1996,115700,Hectares
Hardwood,Sibiu,1997,115700,Hectares
Hardwood,Sibiu,1998,115700,Hectares
Hardwood,Sibiu,1999,116200,Hectares
Hardwood,Sibiu,2000,116100,Hectares
Hardwood,Sibiu,2001,116200,Hectares
Hardwood,Sibiu,2002,116100,Hectares
Hardwood,Sibiu,2003,115900,Hectares
Hardwood,Sibiu,2004,115200,Hectares
Hardwood,Sibiu,2005,116300,Hectares
Hardwood,Sibiu,2006,116200,Hectares
Hardwood,Sibiu,2007,120700,Hectares
Hardwood,Sibiu,2008,117300,Hectares
Hardwood,Sibiu,2009,119200,Hectares
Hardwood,Sibiu,2010,120100,Hectares
Hardwood,Sibiu,2011,120300,Hectares
Hardwood,Sibiu,2012,120600,Hectares
Hardwood,Sibiu,2013,120700,Hectares
Hardwood,Sibiu,2014,122000,Hectares
Hardwood,Sibiu,2015,122400,Hectares
Hardwood,Sibiu,2016,122300,Hectares
Hardwood,Sibiu,2017,123100,Hectares
Hardwood,Sibiu,2018,124600,Hectares
Hardwood,Sibiu,2019,124800,Hectares
Hardwood,Neamt,1990,111400,Hectares
Hardwood,Neamt,1991,112400,Hectares
Hardwood,Neamt,1992,102200,Hectares
Hardwood,Neamt,1993,111800,Hectares
Hardwood,Neamt,1994,112300,Hectares
Hardwood,Neamt,1995,112500,Hectares
Hardwood,Neamt,1996,112700,Hectares
Hardwood,Neamt,1997,112100,Hectares
Hardwood,Neamt,1998,111900,Hectares
Hardwood,Neamt,1999,111900,Hectares
Hardwood,Neamt,2000,111800,Hectares
Hardwood,Neamt,2001,111800,Hectares
Hardwood,Neamt,2002,109900,Hectares
Hardwood,Neamt,2003,110400,Hectares
Hardwood,Neamt,2004,112000,Hectares
Hardwood,Neamt,2005,112200,Hectares
Hardwood,Neamt,2006,111900,Hectares
Hardwood,Neamt,2007,111900,Hectares
Hardwood,Neamt,2008,112000,Hectares
Hardwood,Neamt,2009,112400,Hectares
Hardwood,Neamt,2010,112800,Hectares
Hardwood,Neamt,2011,114100,Hectares
Hardwood,Neamt,2012,115200,Hectares
Hardwood,Neamt,2013,115200,Hectares
Hardwood,Neamt,2014,116600,Hectares
Hardwood,Neamt,2015,117000,Hectares
Hardwood,Neamt,2016,117100,Hectares
Hardwood,Neamt,2017,117400,Hectares
Hardwood,Neamt,2018,117600,Hectares
Hardwood,Neamt,2019,117600,Hectares
Hardwood,Suceava,1990,94100,Hectares
Hardwood,Suceava,1991,94500,Hectares
Hardwood,Suceava,1992,94400,Hectares
Hardwood,Suceava,1993,94600,Hectares
Hardwood,Suceava,1994,94600,Hectares
Hardwood,Suceava,1995,94400,Hectares
Hardwood,Suceava,1996,94400,Hectares
Hardwood,Suceava,1997,95300,Hectares
Hardwood,Suceava,1998,95200,Hectares
Hardwood,Suceava,1999,95600,Hectares
Hardwood,Suceava,2000,95100,Hectares
Hardwood,Suceava,2001,94800,Hectares
Hardwood,Suceava,2002,95200,Hectares
Hardwood,Suceava,2003,95500,Hectares
Hardwood,Suceava,2004,95200,Hectares
Hardwood,Suceava,2005,95700,Hectares
Hardwood,Suceava,2006,96200,Hectares
Hardwood,Suceava,2007,95600,Hectares
Hardwood,Suceava,2008,95600,Hectares
Hardwood,Suceava,2009,95500,Hectares
Hardwood,Suceava,2010,94800,Hectares
Hardwood,Suceava,2011,95400,Hectares
Hardwood,Suceava,2012,95900,Hectares
Hardwood,Suceava,2013,96700,Hectares
Hardwood,Suceava,2014,97100,Hectares
Hardwood,Suceava,2015,98700,Hectares
Hardwood,Suceava,2016,100000,Hectares
Hardwood,Suceava,2017,99800,Hectares
Hardwood,Suceava,2018,100200,Hectares
Hardwood,Suceava,2019,100800,Hectares
Hardwood,Buzau,1990,109600,Hectares
Hardwood,Buzau,1991,109400,Hectares
Hardwood,Buzau,1992,110300,Hectares
Hardwood,Buzau,1993,110500,Hectares
Hardwood,Buzau,1994,111400,Hectares
Hardwood,Buzau,1995,111200,Hectares
Hardwood,Buzau,1996,110700,Hectares
Hardwood,Buzau,1997,111400,Hectares
Hardwood,Buzau,1998,111400,Hectares
Hardwood,Buzau,1999,111600,Hectares
Hardwood,Buzau,2000,111600,Hectares
Hardwood,Buzau,2001,112000,Hectares
Hardwood,Buzau,2002,111700,Hectares
Hardwood,Buzau,2003,111800,Hectares
Hardwood,Buzau,2004,111800,Hectares
Hardwood,Buzau,2005,111900,Hectares
Hardwood,Buzau,2006,107700,Hectares
Hardwood,Buzau,2007,111000,Hectares
Hardwood,Buzau,2008,108800,Hectares
Hardwood,Buzau,2009,109200,Hectares
Hardwood,Buzau,2010,108300,Hectares
Hardwood,Buzau,2011,103600,Hectares
Hardwood,Buzau,2012,107500,Hectares
Hardwood,Buzau,2013,109800,Hectares
Hardwood,Buzau,2014,111500,Hectares
Hardwood,Buzau,2015,109500,Hectares
Hardwood,Buzau,2016,110200,Hectares
Hardwood,Buzau,2017,110600,Hectares
Hardwood,Buzau,2018,110500,Hectares
Hardwood,Buzau,2019,110000,Hectares
Hardwood,Galati,1990,34600,Hectares
Hardwood,Galati,1991,34800,Hectares
Hardwood,Galati,1992,34700,Hectares
Hardwood,Galati,1993,34800,Hectares
Hardwood,Galati,1994,34900,Hectares
Hardwood,Galati,1995,34300,Hectares
Hardwood,Galati,1996,34500,Hectares
Hardwood,Galati,1997,33500,Hectares
Hardwood,Galati,1998,33600,Hectares
Hardwood,Galati,1999,34000,Hectares
Hardwood,Galati,2000,34000,Hectares
Hardwood,Galati,2001,34000,Hectares
Hardwood,Galati,2002,33600,Hectares
Hardwood,Galati,2003,34000,Hectares
Hardwood,Galati,2004,34500,Hectares
Hardwood,Galati,2005,34500,Hectares
Hardwood,Galati,2006,34200,Hectares
Hardwood,Galati,2007,35000,Hectares
Hardwood,Galati,2008,35500,Hectares
Hardwood,Galati,2009,35700,Hectares
Hardwood,Galati,2010,35600,Hectares
Hardwood,Galati,2011,35700,Hectares
Hardwood,Galati,2012,35700,Hectares
Hardwood,Galati,2013,35100,Hectares
Hardwood,Galati,2014,35100,Hectares
Hardwood,Galati,2015,35200,Hectares
Hardwood,Galati,2016,35200,Hectares
Hardwood,Galati,2017,35200,Hectares
Hardwood,Galati,2018,35300,Hectares
Hardwood,Galati,2019,35400,Hectares
Hardwood,Arges,1990,193400,Hectares
Hardwood,Arges,1991,193300,Hectares
Hardwood,Arges,1992,193500,Hectares
Hardwood,Arges,1993,193200,Hectares
Hardwood,Arges,1994,195100,Hectares
Hardwood,Arges,1995,195700,Hectares
Hardwood,Arges,1996,195900,Hectares
Hardwood,Arges,1997,195600,Hectares
Hardwood,Arges,1998,195400,Hectares
Hardwood,Arges,1999,195400,Hectares
Hardwood,Arges,2000,195000,Hectares
Hardwood,Arges,2001,195000,Hectares
Hardwood,Arges,2002,195100,Hectares
Hardwood,Arges,2003,192900,Hectares
Hardwood,Arges,2004,186600,Hectares
Hardwood,Arges,2005,186600,Hectares
Hardwood,Arges,2006,186600,Hectares
Hardwood,Arges,2007,193600,Hectares
Hardwood,Arges,2008,192900,Hectares
